,store,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0,1,0.001,0.01,additive,1064.4249777707469
1,1,0.001,0.01,multiplicative,1008.921857595486
2,1,0.001,0.1,additive,1120.2045520257493
3,1,0.001,0.1,multiplicative,1009.8446929907353
4,1,0.001,1.0,additive,1121.1819083357166
5,1,0.001,1.0,multiplicative,1002.6957014022698
6,1,0.001,10.0,additive,1122.2196210866884
7,1,0.001,10.0,multiplicative,1010.4590585659438
8,1,0.01,0.01,additive,958.9238571279097
9,1,0.01,0.01,multiplicative,953.3514284361033
10,1,0.01,0.1,additive,968.6722097226769
11,1,0.01,0.1,multiplicative,961.4684618840954
12,1,0.01,1.0,additive,969.1031834754589
13,1,0.01,1.0,multiplicative,961.6778809521477
14,1,0.01,10.0,additive,968.5282967030528
15,1,0.01,10.0,multiplicative,960.9430284301613
16,1,0.1,0.01,additive,955.7318055820576
17,1,0.1,0.01,multiplicative,963.7849147595608
18,1,0.1,0.1,additive,958.9137904853025
19,1,0.1,0.1,multiplicative,955.3910399858526
20,1,0.1,1.0,additive,958.9440130812616
21,1,0.1,1.0,multiplicative,955.4943437491584
22,1,0.1,10.0,additive,958.8684095304762
23,1,0.1,10.0,multiplicative,955.5443474634748
24,1,0.5,0.01,additive,970.5105246146531
25,1,0.5,0.01,multiplicative,1003.3132364759599
26,1,0.5,0.1,additive,972.132632607235
27,1,0.5,0.1,multiplicative,965.8560644242172
28,1,0.5,1.0,additive,973.4656473954454
29,1,0.5,1.0,multiplicative,966.2396533387325
30,1,0.5,10.0,additive,972.2130893344981
31,1,0.5,10.0,multiplicative,967.1851108827778
0,3,0.001,0.01,additive,1767.1531364283921
1,3,0.001,0.01,multiplicative,1885.7382704670142
2,3,0.001,0.1,additive,1816.7617422655014
3,3,0.001,0.1,multiplicative,1840.1057083766473
4,3,0.001,1.0,additive,1821.3601359401512
5,3,0.001,1.0,multiplicative,1844.1623583051278
6,3,0.001,10.0,additive,1824.724038588526
7,3,0.001,10.0,multiplicative,1844.1358887164276
8,3,0.01,0.01,additive,1739.4610894601997
9,3,0.01,0.01,multiplicative,1837.0045966085895
10,3,0.01,0.1,additive,1753.6643777370596
11,3,0.01,0.1,multiplicative,1762.1919316875133
12,3,0.01,1.0,additive,1750.015823779537
13,3,0.01,1.0,multiplicative,1764.0212154620851
14,3,0.01,10.0,additive,1748.3260840693022
15,3,0.01,10.0,multiplicative,1760.7103227932796
16,3,0.1,0.01,additive,1749.4196836391407
17,3,0.1,0.01,multiplicative,1852.2751914900077
18,3,0.1,0.1,additive,1755.62841300112
19,3,0.1,0.1,multiplicative,1753.6520232704
20,3,0.1,1.0,additive,1756.2075239493295
21,3,0.1,1.0,multiplicative,1756.2102635707397
22,3,0.1,10.0,additive,1758.2118112271085
23,3,0.1,10.0,multiplicative,1755.655408812599
24,3,0.5,0.01,additive,1761.1687549356457
25,3,0.5,0.01,multiplicative,1867.5601063182066
26,3,0.5,0.1,additive,1770.3345164877148
27,3,0.5,0.1,multiplicative,1769.674637556434
28,3,0.5,1.0,additive,1771.5240099525051
29,3,0.5,1.0,multiplicative,1771.4351761630485
30,3,0.5,10.0,additive,1770.5177341691997
31,3,0.5,10.0,multiplicative,1771.7152746311692
