,store,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0,1,0.001,0.01,additive,761.861741404115
1,1,0.001,0.01,multiplicative,688.3553086618429
2,1,0.001,0.1,additive,729.8935010856354
3,1,0.001,0.1,multiplicative,744.7187160390695
4,1,0.001,1.0,additive,735.0127552641098
5,1,0.001,1.0,multiplicative,730.2594813404343
6,1,0.001,10.0,additive,757.4228123573822
7,1,0.001,10.0,multiplicative,725.6534206271264
8,1,0.01,0.01,additive,652.6410514714709
9,1,0.01,0.01,multiplicative,661.6953140861316
10,1,0.01,0.1,additive,660.9816202164129
11,1,0.01,0.1,multiplicative,648.5712089907904
12,1,0.01,1.0,additive,661.900070537207
13,1,0.01,1.0,multiplicative,649.4977974932389
14,1,0.01,10.0,additive,662.4592158133227
15,1,0.01,10.0,multiplicative,649.1577332142725
16,1,0.1,0.01,additive,637.0756321360267
17,1,0.1,0.01,multiplicative,665.0372781995696
18,1,0.1,0.1,additive,648.5957030748825
19,1,0.1,0.1,multiplicative,646.9001540377317
20,1,0.1,1.0,additive,648.8053378447974
21,1,0.1,1.0,multiplicative,649.8370987066871
22,1,0.1,10.0,additive,648.8751614452207
23,1,0.1,10.0,multiplicative,648.6290160704358
24,1,0.5,0.01,additive,655.6210137866796
25,1,0.5,0.01,multiplicative,712.3905633893677
26,1,0.5,0.1,additive,737.6548775762654
27,1,0.5,0.1,multiplicative,707.421575698097
28,1,0.5,1.0,additive,742.6662787394187
29,1,0.5,1.0,multiplicative,716.6091687582635
30,1,0.5,10.0,additive,738.6589318611112
31,1,0.5,10.0,multiplicative,689.3173474937495
0,3,0.001,0.01,additive,1078.2234360912273
1,3,0.001,0.01,multiplicative,1060.7217641046343
2,3,0.001,0.1,additive,1097.4356874950129
3,3,0.001,0.1,multiplicative,1166.163129880989
4,3,0.001,1.0,additive,1106.0460395480027
5,3,0.001,1.0,multiplicative,1179.4942008477167
6,3,0.001,10.0,additive,1101.9188690948472
7,3,0.001,10.0,multiplicative,1181.765796716237
8,3,0.01,0.01,additive,1085.2853557103738
9,3,0.01,0.01,multiplicative,1050.7053547083988
10,3,0.01,0.1,additive,1085.918556565468
11,3,0.01,0.1,multiplicative,1089.5268327211963
12,3,0.01,1.0,additive,1093.0210512038661
13,3,0.01,1.0,multiplicative,1091.673402184811
14,3,0.01,10.0,additive,1091.8939179978731
15,3,0.01,10.0,multiplicative,1097.2983672407017
16,3,0.1,0.01,additive,1149.2817710564104
17,3,0.1,0.01,multiplicative,1092.0693394857808
18,3,0.1,0.1,additive,1165.8878475449856
19,3,0.1,0.1,multiplicative,1160.5280188446684
20,3,0.1,1.0,additive,1168.0106135058563
21,3,0.1,1.0,multiplicative,1162.392684702822
22,3,0.1,10.0,additive,1167.7878292936464
23,3,0.1,10.0,multiplicative,1161.8621008859334
24,3,0.5,0.01,additive,1161.9272790333453
25,3,0.5,0.01,multiplicative,1057.3556177699322
26,3,0.5,0.1,additive,1223.9447879449797
27,3,0.5,0.1,multiplicative,1171.2178242910231
28,3,0.5,1.0,additive,1225.0861431874603
29,3,0.5,1.0,multiplicative,1172.4423225439195
30,3,0.5,10.0,additive,1223.5407238079322
31,3,0.5,10.0,multiplicative,1118.885140804223
