,store,changepoint_prior_scale,seasonality_mode,seasonality_prior_scale,rmse
0,1,0.001,additive,0.01,758.6327956128888
1,1,0.001,additive,0.1,799.0909627118642
2,1,0.001,additive,1.0,739.9410386543077
3,1,0.001,additive,10.0,786.3823489726166
4,1,0.001,multiplicative,0.01,782.2145396345287
5,1,0.001,multiplicative,0.1,721.9576394507354
6,1,0.001,multiplicative,1.0,816.7829048108381
7,1,0.001,multiplicative,10.0,802.9655164989902
8,1,0.01,additive,0.01,642.1667593612094
9,1,0.01,additive,0.1,651.1142547369276
10,1,0.01,additive,1.0,651.7284583119522
11,1,0.01,additive,10.0,649.3313060088974
12,1,0.01,multiplicative,0.01,666.1551758525359
13,1,0.01,multiplicative,0.1,630.5488243291844
14,1,0.01,multiplicative,1.0,630.7564407637083
15,1,0.01,multiplicative,10.0,633.807989140986
16,1,0.1,additive,0.01,623.8429709015236
17,1,0.1,additive,0.1,632.327202768599
18,1,0.1,additive,1.0,633.6120611555873
19,1,0.1,additive,10.0,633.1553673469106
20,1,0.1,multiplicative,0.01,666.3776658326613
21,1,0.1,multiplicative,0.1,632.2160725897586
22,1,0.1,multiplicative,1.0,633.6168374979575
23,1,0.1,multiplicative,10.0,634.0613777066604
24,1,0.5,additive,0.01,639.6575208337725
25,1,0.5,additive,0.1,736.6352350227843
26,1,0.5,additive,1.0,736.0185299579604
27,1,0.5,additive,10.0,729.4063587816378
28,1,0.5,multiplicative,0.01,690.3602436935572
29,1,0.5,multiplicative,0.1,682.668759213223
30,1,0.5,multiplicative,1.0,697.249805122198
31,1,0.5,multiplicative,10.0,669.9445358661071
0,3,0.001,additive,0.01,1065.6940401968855
1,3,0.001,additive,0.1,1091.7042017296762
2,3,0.001,additive,1.0,1088.640846838269
3,3,0.001,additive,10.0,1097.5951543936528
4,3,0.001,multiplicative,0.01,1067.0581848826657
5,3,0.001,multiplicative,0.1,1179.391938255821
6,3,0.001,multiplicative,1.0,1148.5942676070158
7,3,0.001,multiplicative,10.0,1147.0133798461916
8,3,0.01,additive,0.01,1054.3228940526271
9,3,0.01,additive,0.1,1074.448166044071
10,3,0.01,additive,1.0,1080.5269436244755
11,3,0.01,additive,10.0,1088.093853618521
12,3,0.01,multiplicative,0.01,1023.2270087350802
13,3,0.01,multiplicative,0.1,1069.7450364631407
14,3,0.01,multiplicative,1.0,1066.6177054361092
15,3,0.01,multiplicative,10.0,1082.555449915428
16,3,0.1,additive,0.01,1146.1484729459385
17,3,0.1,additive,0.1,1169.6500690486555
18,3,0.1,additive,1.0,1173.9472383491495
19,3,0.1,additive,10.0,1167.9604882103606
20,3,0.1,multiplicative,0.01,1096.4815400399082
21,3,0.1,multiplicative,0.1,1166.303731219985
22,3,0.1,multiplicative,1.0,1169.0722158654057
23,3,0.1,multiplicative,10.0,1168.0950699918453
24,3,0.5,additive,0.01,1185.372946214294
25,3,0.5,additive,0.1,1241.3879698071876
26,3,0.5,additive,1.0,1234.9416983650538
27,3,0.5,additive,10.0,1240.684857225981
28,3,0.5,multiplicative,0.01,1062.1697807208702
29,3,0.5,multiplicative,0.1,1188.9630456723123
30,3,0.5,multiplicative,1.0,1188.9959131305025
31,3,0.5,multiplicative,10.0,1106.5920629199381
0,7,0.001,additive,0.01,1642.0766695960253
1,7,0.001,additive,0.1,1644.114648957891
2,7,0.001,additive,1.0,1628.1443197973558
3,7,0.001,additive,10.0,1644.4719449309696
4,7,0.001,multiplicative,0.01,1628.8180777837997
5,7,0.001,multiplicative,0.1,1718.0195571599347
6,7,0.001,multiplicative,1.0,1677.3273826013437
7,7,0.001,multiplicative,10.0,1682.8018805507481
8,7,0.01,additive,0.01,1623.445036501787
9,7,0.01,additive,0.1,1649.5488665443024
10,7,0.01,additive,1.0,1649.4967753426556
11,7,0.01,additive,10.0,1650.7853682314717
12,7,0.01,multiplicative,0.01,1595.2887867797995
13,7,0.01,multiplicative,0.1,1632.415769647699
14,7,0.01,multiplicative,1.0,1651.9804626546047
15,7,0.01,multiplicative,10.0,1635.512144459721
16,7,0.1,additive,0.01,1637.792665934244
17,7,0.1,additive,0.1,1654.7166565040282
18,7,0.1,additive,1.0,1654.8439927073207
