,store,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,rmse
0,1,0.001,0.01,additive,758.6327956128888
1,1,0.001,0.01,multiplicative,782.2145396345287
2,1,0.001,0.1,additive,799.0909627118642
3,1,0.001,0.1,multiplicative,721.9576394507354
4,1,0.001,1.0,additive,739.9410386543077
5,1,0.001,1.0,multiplicative,816.7829048108381
6,1,0.001,10.0,additive,786.3823489726166
7,1,0.001,10.0,multiplicative,802.9655164989902
8,1,0.01,0.01,additive,642.1667593612094
9,1,0.01,0.01,multiplicative,666.1551758525359
10,1,0.01,0.1,additive,651.1142547369276
11,1,0.01,0.1,multiplicative,630.5488243291844
12,1,0.01,1.0,additive,651.7284583119522
13,1,0.01,1.0,multiplicative,630.7564407637083
14,1,0.01,10.0,additive,649.3313060088974
15,1,0.01,10.0,multiplicative,633.807989140986
16,1,0.1,0.01,additive,623.8429709015236
17,1,0.1,0.01,multiplicative,666.3776658326613
18,1,0.1,0.1,additive,632.327202768599
19,1,0.1,0.1,multiplicative,632.2160725897586
20,1,0.1,1.0,additive,633.6120611555873
21,1,0.1,1.0,multiplicative,633.6168374979575
22,1,0.1,10.0,additive,633.1553673469106
23,1,0.1,10.0,multiplicative,634.0613777066604
24,1,0.5,0.01,additive,639.6575208337725
25,1,0.5,0.01,multiplicative,690.3602436935572
26,1,0.5,0.1,additive,736.6352350227843
27,1,0.5,0.1,multiplicative,682.668759213223
28,1,0.5,1.0,additive,736.0185299579604
29,1,0.5,1.0,multiplicative,697.249805122198
30,1,0.5,10.0,additive,729.4063587816378
31,1,0.5,10.0,multiplicative,669.9445358661071
0,3,0.001,0.01,additive,1065.6940401968855
1,3,0.001,0.01,multiplicative,1067.0581848826657
2,3,0.001,0.1,additive,1091.7042017296762
3,3,0.001,0.1,multiplicative,1179.391938255821
4,3,0.001,1.0,additive,1088.640846838269
5,3,0.001,1.0,multiplicative,1148.5942676070158
6,3,0.001,10.0,additive,1097.5951543936528
7,3,0.001,10.0,multiplicative,1147.0133798461916
8,3,0.01,0.01,additive,1054.3228940526271
9,3,0.01,0.01,multiplicative,1023.2270087350802
10,3,0.01,0.1,additive,1074.448166044071
11,3,0.01,0.1,multiplicative,1069.7450364631407
12,3,0.01,1.0,additive,1080.5269436244755
13,3,0.01,1.0,multiplicative,1066.6177054361092
14,3,0.01,10.0,additive,1088.093853618521
15,3,0.01,10.0,multiplicative,1082.555449915428
16,3,0.1,0.01,additive,1146.1484729459385
17,3,0.1,0.01,multiplicative,1096.4815400399082
18,3,0.1,0.1,additive,1169.6500690486555
19,3,0.1,0.1,multiplicative,1166.303731219985
20,3,0.1,1.0,additive,1173.9472383491495
21,3,0.1,1.0,multiplicative,1169.0722158654057
22,3,0.1,10.0,additive,1167.9604882103606
23,3,0.1,10.0,multiplicative,1168.0950699918453
24,3,0.5,0.01,additive,1185.372946214294
25,3,0.5,0.01,multiplicative,1062.1697807208702
26,3,0.5,0.1,additive,1241.3879698071876
27,3,0.5,0.1,multiplicative,1188.9630456723123
28,3,0.5,1.0,additive,1234.9416983650538
29,3,0.5,1.0,multiplicative,1188.9959131305025
30,3,0.5,10.0,additive,1240.684857225981
31,3,0.5,10.0,multiplicative,1106.5920629199381
0,7,0.001,0.01,additive,1642.0766695960253
1,7,0.001,0.01,multiplicative,1628.8180777837997
2,7,0.001,0.1,additive,1644.114648957891
3,7,0.001,0.1,multiplicative,1718.0195571599347
4,7,0.001,1.0,additive,1628.1443197973558
5,7,0.001,1.0,multiplicative,1677.3273826013437
6,7,0.001,10.0,additive,1644.4719449309696
7,7,0.001,10.0,multiplicative,1682.8018805507481
8,7,0.01,0.01,additive,1623.445036501787
9,7,0.01,0.01,multiplicative,1595.2887867797995
10,7,0.01,0.1,additive,1649.5488665443024
11,7,0.01,0.1,multiplicative,1632.415769647699
12,7,0.01,1.0,additive,1649.4967753426556
13,7,0.01,1.0,multiplicative,1651.9804626546047
14,7,0.01,10.0,additive,1650.7853682314717
15,7,0.01,10.0,multiplicative,1635.512144459721
16,7,0.1,0.01,additive,1637.792665934244
17,7,0.1,0.01,multiplicative,1647.9579926631477
18,7,0.1,0.1,additive,1654.7166565040282
19,7,0.1,0.1,multiplicative,1663.9639203612355
20,7,0.1,1.0,additive,1654.8439927073207
21,7,0.1,1.0,multiplicative,1666.9555827055112
22,7,0.1,10.0,additive,1655.0929637773593
23,7,0.1,10.0,multiplicative,1666.1957472167005
24,7,0.5,0.01,additive,1671.6674928695982
25,7,0.5,0.01,multiplicative,1740.5876765811179
26,7,0.5,0.1,additive,1661.432017256212
27,7,0.5,0.1,multiplicative,1675.8678369949293
28,7,0.5,1.0,additive,1661.1647417673935
29,7,0.5,1.0,multiplicative,1675.0082167092876
30,7,0.5,10.0,additive,1661.3244346375773
31,7,0.5,10.0,multiplicative,1678.1392400521481
0,8,0.001,0.01,additive,1023.7590940724449
1,8,0.001,0.01,multiplicative,938.5465476022887
2,8,0.001,0.1,additive,1015.6071196818722
3,8,0.001,0.1,multiplicative,1098.1023777093246
4,8,0.001,1.0,additive,1038.7482856071365
5,8,0.001,1.0,multiplicative,1025.8983462206681
6,8,0.001,10.0,additive,1032.9309232277596
7,8,0.001,10.0,multiplicative,1093.0161469575555
8,8,0.01,0.01,additive,911.5518668092188
9,8,0.01,0.01,multiplicative,922.8897442972482
10,8,0.01,0.1,additive,925.2526569068665
11,8,0.01,0.1,multiplicative,935.7540317363006
12,8,0.01,1.0,additive,923.9845122530057
